"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32335","@Regression Third test cases in fixture file","Chrome","Mon Jun 01 16:02:25 IST 2026","passed","Mon Jun 01 16:02:58 IST 2026","","UiTestPOMParameterizationFixture.spec.js","",""
"","10317","End to End Playwright Test - POM","Chrome","Mon Jun 01 16:01:19 IST 2026","passed","Mon Jun 01 16:01:29 IST 2026","","UiTestPOM.spec.js","",""
"","3805","@Web First test cases in fixture file","Chrome","Mon Jun 01 16:01:53 IST 2026","passed","Mon Jun 01 16:01:57 IST 2026","","UiTestPOMParameterizationFixture.spec.js","",""
"","1","@API API Testing with Browser Context - End to End Test - 2","Chrome","Mon Jun 01 16:02:15 IST 2026","broken","Mon Jun 01 16:02:15 IST 2026","","UiBasicTest13.spec.js","",""
"","14473","@Web End to End Playwright Test - POM with Data driven","Chrome","Mon Jun 01 16:01:28 IST 2026","passed","Mon Jun 01 16:01:43 IST 2026","","UiTestPOMDataDriven.spec.js","",""
"","4078","Refactor End To End Scenario with methods - Network Intercept 1","Chrome","Mon Jun 01 16:01:19 IST 2026","passed","Mon Jun 01 16:01:23 IST 2026","","UiBasicTest12.spec.js","",""
"","24362","@Web End to End Playwright Test Fixture","Chrome","Mon Jun 01 16:01:58 IST 2026","passed","Mon Jun 01 16:02:22 IST 2026","","UiTestPOMParameterizationFixture.spec.js","",""
"","11378","End to End Playwright Test - POM with parameterization for ZARA COAT 3","Chrome","Mon Jun 01 16:01:44 IST 2026","passed","Mon Jun 01 16:01:55 IST 2026","","UiTestPOMParameterization.spec.js","",""
"","20667","End to End Playwright Test - POM with parameterization for ADIDAS ORIGINAL","Chrome","Mon Jun 01 16:02:02 IST 2026","passed","Mon Jun 01 16:02:22 IST 2026","","UiTestPOMParameterization.spec.js","",""
